user_id,age,sex,education,primary_source_of_income,sum_of_monthly_installments,sum_of_monthly_expenses,country,signup_date,risk_score
U02806,39,Female,PhD,Employment,384.74,465.18,France,2021-06-30,0.4951278446236858
U02807,69,Female,Bachelor,Retirement,316.09,200.79,Denmark,2021-11-23,0.33704121831836803
U02808,63,Male,Master,Employment,207.13,55.33,Spain,2022-12-24,0.5752459523391288
U02809,63,Other,None,Savings,14.71,628.81,Denmark,2024-02-21,0.3518715556359508
U02810,36,Male,Master,Business,90.54,1245.44,Germany,2020-10-04,0.6111979725361871
U02811,54,Male,High School,Retirement,130.88,790.38,Poland,2023-05-11,0.39677944067726156
U02812,71,Other,Bachelor,Retirement,442.77,2.62,Italy,2020-05-20,0.8648954486032632
U02813,52,Other,Master,Retirement,72.21,6.98,Spain,2024-06-04,0.6572305951512913
U02814,30,Other,Master,Business,175.29,817.07,Finland,2021-06-19,0.37427352765027033
U02815,51,Other,Bachelor,Student Aid,209.39,2986.39,Finland,2021-12-18,0.6551540147021838
U02816,59,Other,Master,Employment,300.39,317.17,Portugal,2023-07-27,0.6442250141455953
U02817,38,Female,Master,Retirement,595.87,853.78,Portugal,2025-01-29,0.20248575600309404
U02818,57,Female,PhD,Savings,42.02,228.48,Portugal,2024-08-08,0.3387347164282769
U02819,18,Other,High School,Unemployment,333.93,349.11,Denmark,2024-07-06,0.33660351076267003
U02820,49,Other,Bachelor,Unemployment,20.74,3423.9,Italy,2023-10-14,0.7652603503001628
U02821,56,Male,Bachelor,Unemployment,321.78,79.25,Italy,2024-06-26,0.4229811257965742
U02822,20,Other,None,Savings,271.85,1240.62,Portugal,2023-11-03,0.3707609906169881
U02823,42,Female,PhD,Retirement,37.66,2149.22,Portugal,2024-01-29,0.5957814975901399
U02824,52,Male,Master,Business,50.85,1537.23,Belgium,2024-06-17,0.7546435669564011
U02825,37,Other,PhD,Business,329.41,173.64,Austria,2021-09-22,0.3650176074431456
U02826,26,Female,None,Employment,358.66,846.83,Netherlands,2021-01-02,0.468417725039295
U02827,21,Male,None,Business,126.03,244.38,Spain,2025-02-10,0.5086151090446452
U02828,33,Other,High School,Unemployment,1018.05,1026.67,Portugal,2020-07-25,0.5812496036773908
U02829,31,Other,Master,Retirement,152.35,1773.9,Italy,2022-03-07,0.4849775914326008
U02830,49,Female,PhD,Student Aid,608.92,413.66,Portugal,2022-10-15,0.42946802322024064
U02831,47,Female,None,Retirement,30.66,170.33,Netherlands,2020-07-31,0.6761674899482311
U02832,64,Other,High School,Savings,16.54,834.11,Portugal,2022-08-22,0.6781329784671518
U02833,58,Male,Bachelor,Business,584.16,132.41,Netherlands,2022-03-20,0.23472660081680724
U02834,22,Other,None,Savings,370.05,173.24,Sweden,2024-11-16,0.4368198892763897
U02835,32,Female,PhD,Business,244.1,635.71,Belgium,2022-10-04,0.3482186032210721
U02836,73,Male,None,Unemployment,211.87,107.66,Italy,2021-09-25,0.484322023483432
U02837,74,Female,High School,Retirement,65.55,275.38,Sweden,2024-03-11,0.6479763760743917
U02838,67,Female,Master,Employment,20.43,1167.96,France,2025-02-11,0.5623374559750947
U02839,34,Male,None,Business,1389.63,1636.67,Poland,2024-07-07,0.3690147783735526
U02840,62,Other,None,Unemployment,235.42,126.74,Poland,2024-12-23,0.6243448414221902
U02841,21,Male,Bachelor,Employment,25.48,686.9,Belgium,2024-08-25,0.18194918881539152
U02842,37,Female,Bachelor,Business,216.25,1423.13,Spain,2021-04-07,0.6872564546297277
U02843,36,Other,None,Employment,310.55,320.59,Austria,2025-03-05,0.3629397901097319
U02844,62,Male,Master,Savings,28.92,2158.21,Poland,2021-04-10,0.6305797901323034
U02845,71,Male,Master,Unemployment,197.07,909.59,Belgium,2022-08-01,0.4921102495147002
U02846,35,Male,High School,Business,41.04,449.47,Czech Republic,2024-12-03,0.2108367110985202
U02847,41,Female,PhD,Student Aid,330.76,927.13,Germany,2023-06-04,0.49605533287429693
U02848,21,Female,Bachelor,Business,159.2,770.51,Ireland,2024-11-30,0.7198288488832889
U02849,57,Male,Master,Unemployment,795.33,200.14,Ireland,2020-08-28,0.46025320047163376
U02850,25,Other,PhD,Business,104.41,351.5,Sweden,2024-01-22,0.30844255481059296
U02851,68,Other,Master,Savings,23.95,134.98,Italy,2024-12-13,0.8695335398198389
U02852,31,Other,PhD,Retirement,187.72,4247.61,Italy,2022-02-28,0.4836640257292502
U02853,47,Male,Bachelor,Unemployment,117.83,30.84,Germany,2023-12-02,0.3814974354777188
U02854,52,Female,None,Business,770.0,1961.78,Czech Republic,2021-03-05,0.6039222815451384
U02855,52,Female,None,Unemployment,618.95,2390.8,Austria,2022-05-30,0.3154954886116971
U02856,49,Female,None,Employment,1044.61,69.26,Finland,2022-11-01,0.41856986078711944
U02857,23,Male,Master,Student Aid,66.23,31.38,Austria,2020-07-30,0.5073796906716144
U02858,63,Female,Master,Unemployment,117.37,4057.48,Sweden,2024-02-17,0.47105690156003494
U02859,28,Male,PhD,Business,124.42,1367.92,France,2022-07-16,0.5763942985463012
U02860,42,Other,PhD,Unemployment,62.16,39.8,Belgium,2023-04-08,0.4075893176995514
U02861,36,Other,Bachelor,Student Aid,587.17,620.15,Sweden,2021-01-16,0.5757665918124611
U02862,53,Male,PhD,Student Aid,324.53,602.61,Poland,2024-01-15,0.7687219010546205
U02863,22,Male,Bachelor,Retirement,199.29,524.17,Denmark,2021-04-20,0.5370359095124918
U02864,72,Other,Master,Student Aid,383.7,181.68,Germany,2022-04-27,0.3312203258393415
U02865,34,Other,Bachelor,Unemployment,878.78,339.82,Belgium,2022-02-02,0.6794156953261875
U02866,73,Other,High School,Retirement,672.75,2583.23,Germany,2023-04-15,0.6257823389470436
U02867,53,Male,None,Retirement,183.71,1010.91,Belgium,2023-12-12,0.6194645549963166
U02868,29,Female,Bachelor,Retirement,132.43,427.81,Italy,2021-09-18,0.7495979419712149
U02869,57,Other,High School,Unemployment,709.65,168.12,Poland,2021-06-27,0.26451936366497597
U02870,23,Male,PhD,Unemployment,324.11,1144.3,Netherlands,2022-01-22,0.5682372126620033
U02871,26,Other,PhD,Business,57.69,1088.75,Belgium,2022-01-23,0.574951746086899
U02872,68,Male,High School,Retirement,359.85,356.76,Germany,2020-10-22,0.5986383889285914
U02873,23,Other,Bachelor,Retirement,266.1,2994.21,Denmark,2025-02-25,0.5586980257902838
U02874,48,Other,PhD,Unemployment,236.1,181.8,Austria,2023-04-15,0.9577566979877938
U02875,40,Male,High School,Savings,628.47,1352.62,Denmark,2024-10-30,0.5296134571538873
U02876,46,Male,PhD,Business,629.06,603.54,Austria,2022-09-11,0.16620561458348365
U02877,56,Female,Bachelor,Business,623.78,3093.66,Ireland,2024-11-19,0.5765803067676855
U02878,27,Male,None,Employment,9.47,2709.09,France,2021-09-26,0.5302607982194066
U02879,40,Female,High School,Savings,12.87,2848.55,Finland,2023-01-21,0.06159368014144989
U02880,19,Female,Bachelor,Employment,554.42,752.71,Denmark,2022-10-17,0.32841690727617134
U02881,50,Male,Master,Business,533.58,18.72,Austria,2022-10-06,0.7388037347864125
U02882,39,Female,Bachelor,Business,29.67,373.27,Finland,2025-03-05,0.41183930460201523
U02883,47,Male,None,Business,88.16,3094.76,Austria,2022-07-30,0.5586620524499801
U02884,69,Other,High School,Student Aid,90.02,156.59,Portugal,2024-09-05,0.7169947114702595
U02885,58,Other,High School,Unemployment,137.84,1498.05,Finland,2021-02-10,0.48322293438705305
U02886,32,Female,PhD,Employment,55.32,1750.62,Sweden,2021-06-16,0.43209647772357
U02887,62,Male,High School,Unemployment,42.95,1275.74,Portugal,2023-10-21,0.6633648504271167
U02888,40,Male,Bachelor,Retirement,87.33,558.79,Italy,2020-10-22,0.24744415619510252
U02889,34,Male,High School,Employment,421.92,111.82,Belgium,2022-08-30,0.5416273788322835
U02890,54,Male,High School,Retirement,315.97,300.32,Ireland,2021-05-20,0.548028178238281
U02891,70,Male,High School,Business,122.27,854.28,Germany,2021-06-07,0.24150453195210958
U02892,21,Other,Bachelor,Student Aid,1014.36,3974.16,France,2022-06-05,0.5359902916587389
U02893,51,Male,PhD,Savings,107.1,908.86,Germany,2021-07-19,0.26459156069379747
U02894,47,Female,Master,Savings,73.37,75.75,Denmark,2023-01-16,0.4044676416591564
U02895,52,Male,None,Business,119.94,576.78,Czech Republic,2022-05-30,0.7208206742247678
U02896,53,Female,PhD,Employment,190.6,1760.68,Italy,2023-08-24,0.6193231542432333
U02897,36,Male,High School,Retirement,179.56,1248.43,Netherlands,2024-06-19,0.4851028493311952
U02898,20,Male,High School,Unemployment,230.77,3803.59,Denmark,2021-07-06,0.4591359648603693
U02899,63,Female,High School,Unemployment,525.07,1577.19,Italy,2025-03-19,0.5501236432809733
U02900,74,Female,Bachelor,Employment,1045.22,460.46,Denmark,2022-08-03,0.5704960310497827
U02901,46,Female,None,Retirement,467.24,911.99,Poland,2023-10-29,0.6457118536508539
U02902,33,Male,Bachelor,Unemployment,188.66,2365.58,Spain,2023-06-30,0.3057112068999319
U02903,20,Other,PhD,Employment,170.55,1011.4,Finland,2024-02-24,0.7442941546821862
U02904,54,Other,None,Business,36.59,3763.48,Spain,2020-12-11,0.527725964654057
U02905,29,Male,None,Retirement,139.12,1206.89,Denmark,2021-02-04,0.44849972362213264
U02906,31,Other,PhD,Student Aid,571.71,1793.48,Portugal,2023-09-24,0.6713311089328337
U02907,73,Other,Bachelor,Retirement,406.93,3570.54,France,2024-09-08,0.47636501636745177
U02908,38,Other,Master,Student Aid,111.29,2762.9,Austria,2022-09-02,0.5883992070611633
U02909,73,Male,Master,Employment,136.02,1850.7,Sweden,2023-06-11,0.34592405624721456
U02910,58,Other,PhD,Unemployment,127.74,2380.12,Czech Republic,2024-03-03,0.552443295880398
U02911,24,Other,Bachelor,Savings,501.87,212.12,Sweden,2024-06-15,0.43295061019782777
U02912,36,Other,High School,Business,535.21,445.0,Poland,2023-02-01,0.7416672473617936
U02913,28,Other,High School,Retirement,424.26,58.54,Italy,2020-04-28,0.631137171622562
U02914,20,Other,PhD,Business,430.4,478.95,Sweden,2021-02-04,0.5259044975178204
U02915,39,Male,High School,Business,260.49,306.58,Netherlands,2024-03-15,0.5262177238709781
U02916,32,Female,Master,Business,292.24,283.69,France,2023-05-08,0.40941731840891293
U02917,29,Female,Bachelor,Student Aid,354.73,3384.15,Poland,2020-11-03,0.8203531114120058
U02918,71,Male,None,Unemployment,95.94,230.41,Finland,2024-11-06,0.6742517346984845
U02919,31,Female,Bachelor,Retirement,385.99,2830.59,Netherlands,2023-09-08,0.5571239627517881
U02920,25,Other,High School,Savings,118.28,325.56,Portugal,2022-02-26,0.7014082792026778
U02921,65,Female,Master,Employment,330.1,399.88,Italy,2023-12-16,0.6864201623089914
U02922,61,Other,Master,Retirement,129.99,77.93,Italy,2022-02-08,0.7426575613663677
U02923,25,Male,None,Employment,41.17,369.76,Denmark,2024-07-06,0.4269985515677605
U02924,67,Male,Bachelor,Savings,107.79,861.99,Ireland,2022-08-03,0.6415396664409418
U02925,45,Female,None,Retirement,148.11,1119.08,France,2023-01-19,0.5562169628289206
U02926,48,Female,High School,Employment,172.6,354.93,Ireland,2022-09-19,0.5357382250058521
U02927,46,Female,High School,Business,7.54,580.97,Poland,2023-03-06,0.5652817292434403
U02928,51,Other,Bachelor,Business,96.5,2161.17,France,2024-12-16,0.38877526251309125
U02929,62,Male,Bachelor,Savings,85.8,679.24,Czech Republic,2025-03-21,0.38319892230544306
U02930,48,Male,Bachelor,Savings,101.03,668.57,Germany,2021-05-31,0.7779045642279323
U02931,43,Female,PhD,Retirement,204.11,1431.03,France,2025-02-12,0.3604365432707031
U02932,25,Other,Bachelor,Business,858.21,372.83,Belgium,2024-06-06,0.3428882274060727
U02933,64,Male,None,Business,150.21,425.24,Spain,2023-03-24,0.6489880941990789
U02934,62,Female,None,Unemployment,62.01,856.55,Denmark,2020-09-18,0.5701577925464362
U02935,48,Male,Master,Unemployment,186.39,941.78,Germany,2020-09-10,0.8948871159995231
U02936,36,Female,PhD,Unemployment,331.12,310.8,France,2021-02-24,0.508999881328476
U02937,55,Female,PhD,Unemployment,192.95,519.05,Czech Republic,2024-03-18,0.647172457335553
U02938,66,Other,PhD,Business,1061.88,4895.14,Ireland,2020-06-10,0.4419605830100079
U02939,34,Female,High School,Unemployment,696.05,477.91,Belgium,2021-05-11,0.6240333829725063
U02940,22,Male,Master,Savings,10.39,2064.93,Czech Republic,2021-08-24,0.46140337007229854
U02941,36,Male,None,Student Aid,284.27,692.21,France,2024-01-22,0.5795514352505869
U02942,44,Female,PhD,Unemployment,117.4,1214.47,Spain,2024-03-09,0.5456738302520218
U02943,65,Female,Master,Unemployment,92.16,194.87,Czech Republic,2020-04-23,0.5197955002918363
U02944,65,Other,PhD,Employment,84.64,2418.98,Netherlands,2023-12-11,0.3719418771176589
U02945,72,Male,PhD,Business,13.57,336.63,France,2022-01-09,0.5673749832852099
U02946,49,Male,High School,Employment,2.48,2541.52,Ireland,2021-06-04,0.3776748855035479
U02947,43,Other,Master,Unemployment,16.47,1145.81,Belgium,2022-11-14,0.5191142859071404
U02948,68,Female,PhD,Student Aid,265.78,459.16,Netherlands,2021-08-27,0.4232523465073893
U02949,57,Female,PhD,Retirement,76.06,2301.97,Denmark,2022-08-20,0.3730446667474191
U02950,26,Other,High School,Unemployment,42.41,1310.0,Poland,2021-02-04,0.3385399749011474
U02951,18,Male,PhD,Savings,128.16,148.5,France,2023-05-15,0.29911049957686786
U02952,42,Male,PhD,Retirement,925.42,184.18,Portugal,2022-06-07,0.633970488849533
U02953,63,Other,Master,Savings,21.1,137.36,Finland,2021-01-02,0.028787818805518117
U02954,59,Female,Master,Student Aid,46.14,2186.37,Poland,2023-06-20,0.61906372146487
U02955,52,Other,PhD,Unemployment,276.47,728.28,Finland,2021-09-17,0.5714645250075687
U02956,19,Male,Bachelor,Unemployment,591.13,15.98,Poland,2020-09-28,0.4770109169901042
U02957,54,Female,High School,Student Aid,5.78,1472.58,Denmark,2023-09-04,0.3511936962023755
U02958,34,Other,Bachelor,Retirement,544.06,33.62,Sweden,2022-11-26,0.557389993899309
U02959,52,Female,Bachelor,Retirement,91.11,1400.98,Italy,2022-04-18,0.4666520759183437
U02960,45,Other,None,Student Aid,250.29,449.91,Ireland,2023-12-15,0.588211884369374
U02961,35,Male,High School,Employment,588.09,620.06,Portugal,2021-01-29,0.3255591519720631
U02962,39,Male,PhD,Unemployment,380.84,1936.04,Finland,2021-02-10,0.446387742774395
U02963,68,Other,High School,Savings,908.5,3509.41,Italy,2020-04-24,0.45904681738761083
U02964,71,Female,Bachelor,Unemployment,386.7,245.88,Spain,2022-02-13,0.4549332593403253
U02965,21,Other,Master,Savings,96.01,1092.46,Czech Republic,2024-05-11,0.44550319874171823
U02966,32,Other,PhD,Savings,457.03,4129.28,Spain,2020-12-19,0.5444859015041462
U02967,25,Other,PhD,Student Aid,267.32,1759.38,Ireland,2021-06-07,0.7283658364634817
U02968,39,Male,High School,Student Aid,418.87,3319.23,Sweden,2022-03-24,0.4371372722019386
U02969,55,Female,Bachelor,Retirement,163.25,4780.04,Finland,2024-09-20,0.5938376890512501
U02970,67,Male,PhD,Student Aid,258.66,80.82,Spain,2024-02-02,0.46650926173500357
U02971,54,Male,Bachelor,Unemployment,170.26,2994.31,Poland,2020-05-19,0.7451827538115448
U02972,46,Male,High School,Student Aid,369.31,2434.16,Belgium,2020-05-16,0.44994481329664315
U02973,19,Other,PhD,Student Aid,166.24,1690.22,Spain,2023-03-24,0.7401611459246589
U02974,70,Other,PhD,Business,129.13,451.07,France,2021-04-30,0.6337760869392219
U02975,42,Female,Bachelor,Student Aid,510.35,5513.33,France,2023-11-24,0.48053416634023116
U02976,29,Male,PhD,Business,112.04,5599.81,Czech Republic,2021-06-05,0.49629337023966136
U02977,39,Male,PhD,Savings,301.64,162.6,Ireland,2024-05-14,0.3629122167393952
U02978,62,Male,Bachelor,Business,644.02,4230.18,Poland,2020-11-27,0.638414927304267
U02979,25,Other,Bachelor,Business,639.09,656.14,Spain,2022-04-02,0.5457726253812459
U02980,22,Female,PhD,Student Aid,201.24,2648.33,Sweden,2023-07-25,0.6722136299596149
U02981,58,Male,Bachelor,Employment,152.57,152.9,Spain,2021-01-23,0.3903701569724419
U02982,58,Male,PhD,Employment,337.6,110.36,Spain,2021-03-05,0.4786273127642306
U02983,44,Male,Master,Employment,779.27,565.36,Sweden,2021-03-07,0.528294662235197
U02984,32,Male,PhD,Unemployment,431.32,356.17,Denmark,2022-12-20,0.7412100870759093
U02985,69,Male,High School,Employment,356.03,99.56,Spain,2023-06-06,0.7391176192283035
U02986,21,Male,None,Employment,138.58,715.18,Germany,2022-11-06,0.7529548188422978
U02987,37,Male,None,Employment,495.34,167.96,Belgium,2021-06-21,0.515976551082033
U02988,32,Other,None,Retirement,166.66,484.66,Austria,2023-07-24,0.5548547786327089
U02989,71,Female,Master,Savings,462.25,421.61,Belgium,2021-06-08,0.27436299934327685
U02990,20,Female,Master,Student Aid,300.77,969.44,Netherlands,2021-07-08,0.5367818260202531
U02991,20,Female,Bachelor,Retirement,679.09,642.59,Denmark,2020-11-19,0.5633487196174812
U02992,56,Female,PhD,Savings,221.68,676.15,Poland,2024-10-25,0.330704822843119
U02993,31,Female,Master,Employment,31.84,661.34,Poland,2025-02-04,0.5891668406006172
U02994,48,Female,PhD,Student Aid,46.16,976.26,Ireland,2020-05-17,0.4575503979050209
U02995,42,Male,High School,Savings,149.5,393.07,Germany,2021-09-12,0.5298080503062336
U02996,30,Other,Master,Student Aid,347.86,286.47,Portugal,2024-01-18,0.5701416035259796
U02997,65,Male,Master,Unemployment,154.06,2126.05,Sweden,2023-04-17,0.5483562044876714
U02998,30,Other,PhD,Savings,75.68,627.36,Belgium,2022-02-11,0.44822755140679377
U02999,34,Other,Bachelor,Employment,388.5,453.09,Denmark,2021-08-04,0.5548644546135704
U03000,45,Female,High School,Student Aid,91.57,88.38,Netherlands,2023-10-22,0.6744844632711167
U03001,73,Male,Master,Student Aid,54.29,618.47,Austria,2024-01-25,0.340147595327065
U03002,62,Male,None,Unemployment,860.65,1540.12,Belgium,2022-02-24,0.2474401148578927
U03003,46,Other,None,Employment,104.3,644.82,Netherlands,2021-01-15,0.5349953159846565
U03004,29,Female,PhD,Student Aid,1006.93,807.32,Ireland,2021-02-27,0.7181908308603295
U03005,35,Other,High School,Student Aid,94.71,8779.09,Belgium,2021-06-30,0.604585706958547
U03006,32,Female,None,Business,125.07,941.09,Finland,2021-05-08,0.4478712586221713
U03007,49,Male,None,Savings,34.71,3569.61,Portugal,2023-07-28,0.6358157551182164
U03008,40,Other,None,Employment,12.89,1094.27,France,2023-04-18,0.0
U03009,55,Female,High School,Retirement,134.57,606.87,Ireland,2023-12-16,0.43673231460076006
U03010,24,Other,None,Unemployment,45.62,1482.65,France,2022-12-24,0.33078681500250695
U03011,66,Female,High School,Unemployment,154.87,1480.17,Denmark,2021-06-29,0.7114820257427047
U03012,67,Other,Bachelor,Business,253.46,1695.06,Italy,2022-05-30,0.5050345332306825
U03013,57,Male,High School,Employment,87.28,1031.09,Belgium,2022-08-29,0.40632862356873467
U03014,68,Other,High School,Business,572.03,2840.6,Netherlands,2021-01-07,0.6769118919632582
U03015,67,Female,Master,Business,237.42,1633.17,Finland,2022-06-01,0.41047926412203545
U03016,24,Female,PhD,Student Aid,498.33,787.66,Germany,2025-01-04,0.19969205232839626
U03017,18,Other,Bachelor,Savings,107.69,1138.58,Denmark,2022-09-23,0.5292571415238618
U03018,72,Other,PhD,Employment,386.35,2007.11,Portugal,2020-07-13,0.6611246867289392
U03019,31,Other,Master,Business,429.46,892.28,Sweden,2022-11-14,0.3991870559948957
U03020,37,Other,High School,Student Aid,39.13,2265.3,Netherlands,2022-01-19,0.3278313842213602
U03021,74,Female,PhD,Student Aid,123.47,157.28,Denmark,2024-09-15,0.4530689058193412
U03022,18,Other,PhD,Business,205.23,126.74,Italy,2024-08-21,0.38317929070949164
U03023,38,Female,High School,Retirement,495.68,882.08,Germany,2021-11-28,0.3761463044583673
U03024,20,Male,High School,Retirement,704.06,164.07,Finland,2023-08-21,0.7077422730647526
U03025,46,Other,Bachelor,Student Aid,748.22,1366.71,Germany,2022-10-26,0.49367742024777983
U03026,47,Other,Master,Business,7.07,527.06,Ireland,2020-10-07,0.5050289431217478
U03027,22,Female,PhD,Savings,306.12,1307.94,Finland,2022-05-04,0.41877904902392465
U03028,53,Male,Master,Employment,223.68,901.83,Sweden,2024-07-06,0.48469905798091073
U03029,70,Other,Bachelor,Unemployment,690.06,491.66,Belgium,2023-08-02,0.6053015917294111
U03030,21,Female,Master,Student Aid,92.69,196.56,Portugal,2021-04-06,0.44190326926649715
U03031,47,Male,None,Student Aid,72.65,1281.33,Sweden,2022-05-10,0.6657495802706621
U03032,60,Other,Bachelor,Employment,16.9,1458.06,Belgium,2024-07-21,0.44337032771602625
U03033,53,Male,None,Unemployment,466.32,519.6,Netherlands,2020-11-27,0.6209964675084125
U03034,49,Male,Master,Business,533.43,1925.13,Austria,2024-10-18,0.46573521184004624
U03035,49,Other,PhD,Business,7.6,1848.91,Sweden,2020-05-28,0.4743230945305401
U03036,67,Female,Bachelor,Student Aid,360.75,416.67,Denmark,2023-05-17,0.49008314090719896
U03037,50,Other,High School,Savings,96.08,80.9,Netherlands,2022-12-30,0.1791516659579393
U03038,33,Female,None,Student Aid,262.94,396.83,Germany,2021-06-05,0.47052306283607465
U03039,33,Female,None,Unemployment,377.29,2592.08,Denmark,2023-08-05,0.34873504692032814
U03040,29,Male,PhD,Retirement,355.64,1753.67,Finland,2025-02-19,0.2705376567493863
U03041,34,Female,High School,Retirement,39.28,2074.21,France,2023-11-19,0.6529396598067163
U03042,63,Other,Bachelor,Student Aid,94.23,126.66,Portugal,2023-05-31,0.5018416833536058
U03043,56,Male,High School,Business,224.22,1361.19,Ireland,2024-12-13,0.3521522925810997
U03044,36,Female,PhD,Retirement,260.55,92.21,Ireland,2021-10-09,0.37245960797047895
U03045,19,Other,Bachelor,Employment,430.78,673.11,Czech Republic,2024-04-23,0.7006151161873126
U03046,61,Female,Master,Unemployment,231.98,2668.58,Denmark,2020-12-03,0.47182442005773967
U03047,58,Female,Master,Unemployment,72.92,53.49,Belgium,2020-06-11,0.6640038549345918
U03048,34,Male,None,Student Aid,349.54,25.67,Spain,2020-11-16,0.33701202368959404
U03049,66,Female,Bachelor,Student Aid,646.63,1654.68,Ireland,2020-06-02,0.3183338766219199
U03050,34,Other,PhD,Employment,259.34,543.61,France,2022-07-14,0.4534596962577949
U03051,19,Female,None,Employment,654.08,265.31,Ireland,2022-02-20,0.37279538555630676
U03052,42,Other,Master,Unemployment,37.8,1693.06,Denmark,2020-08-22,0.6452030682342101
U03053,26,Male,None,Business,119.63,1271.81,Austria,2020-10-25,0.5804583828271365
U03054,29,Other,PhD,Retirement,600.23,2596.63,France,2023-09-09,0.2493279252806977
U03055,40,Male,Bachelor,Student Aid,122.33,748.94,Italy,2024-08-11,0.35311215004934493
U03056,40,Other,High School,Retirement,48.19,1212.85,Finland,2022-09-28,0.4983231326783177
U03057,21,Other,High School,Student Aid,1717.24,564.47,Portugal,2024-07-25,0.6587712158178446
U03058,34,Male,PhD,Unemployment,230.94,988.05,Denmark,2023-11-02,0.5441251307002404
U03059,28,Male,High School,Employment,69.26,618.51,Netherlands,2023-11-28,0.5328607343806503
U03060,46,Female,Bachelor,Employment,438.4,215.38,Germany,2023-09-22,0.4286911636678187
U03061,45,Other,Master,Savings,204.04,1018.77,Belgium,2021-01-02,0.21116489595006843
U03062,70,Male,PhD,Business,518.03,990.23,Poland,2024-11-13,0.7240564638508301
U03063,18,Male,Bachelor,Unemployment,32.9,1486.05,Austria,2024-11-16,0.40070953868549364
U03064,38,Female,None,Business,703.55,1963.23,Denmark,2021-08-08,0.3503849391872379
U03065,30,Other,PhD,Student Aid,293.0,1240.73,Portugal,2022-08-31,0.3498485683275779
U03066,44,Other,High School,Unemployment,439.05,1074.78,Ireland,2021-01-05,0.6549784796544722
U03067,55,Other,PhD,Retirement,1258.67,2018.75,Denmark,2022-12-09,0.5130659328958956
U03068,62,Other,PhD,Retirement,168.28,1685.21,Poland,2020-12-22,0.34883235921234734
U03069,50,Male,High School,Employment,152.9,850.87,Germany,2024-08-26,0.5642529370657173
U03070,23,Female,None,Business,866.1,874.0,Poland,2022-01-12,0.5587743061574152
U03071,40,Other,None,Savings,35.57,999.69,Austria,2021-08-16,0.436468499991383
U03072,33,Female,High School,Savings,325.57,1471.8,France,2024-11-12,0.2661795845873124
U03073,44,Female,PhD,Student Aid,3.09,26.89,Finland,2023-01-31,0.3860296802018337
U03074,25,Female,Master,Savings,609.68,260.7,France,2023-08-17,0.39349768356626713
U03075,69,Male,Master,Employment,236.61,2341.95,Finland,2020-11-12,0.322997767985857
U03076,26,Other,Bachelor,Unemployment,1110.21,1462.52,Ireland,2022-12-10,0.654557704083349
U03077,61,Other,High School,Unemployment,329.47,2455.77,Czech Republic,2024-01-10,0.5330283971307699
U03078,47,Other,None,Unemployment,307.81,2045.9,Germany,2022-05-02,0.6548584097189595
U03079,34,Other,None,Savings,332.78,1583.57,Finland,2020-10-17,0.3103113586230548
U03080,49,Other,High School,Business,76.48,777.34,Denmark,2022-05-20,0.8287604279611804
U03081,43,Male,Bachelor,Savings,1763.92,1818.0,Finland,2021-01-13,0.3466904455089014
U03082,63,Male,High School,Savings,1495.96,6313.93,Austria,2023-12-31,0.35548410427970145
U03083,46,Female,High School,Employment,388.35,63.76,France,2021-04-16,0.432663741903049
U03084,25,Other,Bachelor,Student Aid,508.59,301.23,France,2024-02-28,0.4390834464464895
U03085,74,Male,None,Retirement,75.15,1695.77,Ireland,2020-10-08,0.5757126032856996
U03086,55,Male,High School,Employment,265.03,2883.12,Czech Republic,2022-12-07,0.46584184953828706
U03087,72,Female,Master,Savings,510.98,411.8,France,2021-10-18,0.5764270345894529
U03088,56,Female,High School,Business,629.84,266.3,Spain,2021-04-27,0.4719004535268049
U03089,47,Male,None,Retirement,484.65,1772.35,Denmark,2020-05-30,0.5098254902179016
U03090,43,Other,PhD,Business,613.75,1206.25,Sweden,2021-06-21,0.6241569760374129
U03091,63,Female,Master,Savings,29.39,227.44,Netherlands,2020-05-26,0.5046595139598398
U03092,55,Other,None,Savings,166.77,897.75,Italy,2021-09-12,0.47573490782514966
U03093,57,Other,High School,Student Aid,295.1,37.25,Ireland,2024-07-11,0.4729397624806973
U03094,64,Male,Bachelor,Employment,637.96,1700.88,Italy,2023-04-03,0.587250510933319
U03095,32,Male,Master,Business,468.54,627.74,France,2024-10-01,0.7094950829929154
U03096,73,Other,None,Business,295.41,2111.85,Sweden,2024-09-13,0.5460163089205952
U03097,19,Female,Master,Business,496.81,3345.72,Finland,2022-07-05,0.4407429721745649
U03098,21,Other,PhD,Employment,462.0,1556.2,Czech Republic,2021-09-21,0.5463570252536052
U03099,38,Female,Master,Unemployment,298.01,5203.43,Denmark,2023-06-20,0.2521783802166775
U03100,57,Male,PhD,Unemployment,10.15,331.01,Germany,2021-05-20,0.34968441130543537
U03101,18,Female,PhD,Student Aid,652.64,385.85,France,2022-08-04,0.34494619174414554
U03102,26,Other,Bachelor,Employment,35.33,335.4,Denmark,2021-04-22,0.4883258345058911
U03103,21,Other,Master,Student Aid,175.0,1241.13,Finland,2020-07-21,0.2475433165157528
U03104,52,Other,Bachelor,Student Aid,39.7,829.89,Netherlands,2023-02-25,0.6678500348810157
U03105,34,Other,None,Savings,82.65,740.6,France,2023-12-15,0.9101865363885457
U03106,24,Female,Bachelor,Retirement,38.9,80.71,Portugal,2022-08-14,0.36906792217354545
